dataset,source_url,effective_date,status,local_path,sha256,note
ICD-10-PCS April 2026 Conversion Table,https://www.cms.gov/files/zip/april-1-2026-icd-10-pcs-conversion-table.zip,2026-04-01,downloaded,reference_data/icd10pcs/icd10pcs_april_2026_conversion_table.zip,9b3f43a3befa119754f31c545e997836c3a5167fdf821ffb778e812a117ad99c,
ICD-10-PCS April 2026 Addendum,https://www.cms.gov/files/zip/april-1-2026-icd-10-pcs-addendum.zip,2026-04-01,downloaded,reference_data/icd10pcs/icd10pcs_april_2026_addendum.zip,e909c6fb310111a8652f2d0d8ec220ad6102ea0011c7ac5c6f767b22024f60c2,
ICD-10-PCS April 2026 Guidelines,https://www.cms.gov/files/document/april-1-2026-official-icd-10-pcs-coding-guidelines.pdf,2026-04-01,downloaded,reference_data/icd10pcs/icd10pcs_april_2026_guidelines.pdf,60c46e064073ce6f95ab499f8fea348d2ea3a928bb01b499b9bdbfcd33a80aff,
ICD-10-PCS April 2026 Code Tables and Index,https://www.cms.gov/files/zip/april-1-2026-icd-10-pcs-code-tables-index.zip,2026-04-01,downloaded,reference_data/icd10pcs/icd10pcs_april_2026_tables_index.zip,567c4c012556a862c17d2653e6f49ecbf6c6bdbf82eba3e19576a207c417e41f,
NCCI Add-On Code Edits July 1 2026,https://www.cms.gov/files/zip/add-code-edits-medicare-effective-06012026.zip,2026-07-01,downloaded,reference_data/ncci/ncci_addon_codes_2026_07_01.zip,c65d72754a616b2515d8868ec637de7f9b7d37797aec0d6b910da58637706ed5,
2026 Medicare NCCI Full Policy Manual,https://www.cms.gov/files/document/2026-ncci-medicare-policy-manual-all-chapters.pdf,2026-01-01,downloaded,reference_data/rules/2026_medicare_ncci_full_policy_manual.pdf,f9edd797151d2270790e7a6d05b23796dff4b1f2ae0a7cb73e9f560cf3990ba7,
HCPCS July 2026 Alpha-Numeric,https://www.cms.gov/files/zip/july-2026-alpha-numeric-hcpcs-file.zip,2026-07-01,downloaded,reference_data/hcpcs/hcpcs_july_2026_alpha_numeric.zip,5591fed257e4d2307c1d2dc9c66abc8e346b1f4c076e9e48559799e2de14b70a,
2026 NCCI Chapter 4 Musculoskeletal System,https://www.cms.gov/files/document/04-chapter4-ncci-medicare-policy-manual-2026-final.pdf,2026-01-01,downloaded,reference_data/rules/2026_ncci_chapter_4_musculoskeletal.pdf,c0907a720bad334d0c5d49271be786189d3e7804855909567ad7562146646d73,
NCCI Q3 2026 Hospital PTP Part 1,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-hospital-ptp-edits-ccioph-v322r0-f1.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Hospital_PTP_Part_1_DOWNLOAD_REQUIRED.txt,49b5a17127587d92735ff51bdc38029253201bb41a7233d38229e5b701aa65a7,CMS/CDC returned HTML/interstitial instead of expected file.
NCCI Q3 2026 Hospital PTP Part 4,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-hospital-ptp-edits-ccioph-v322r0-f4.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Hospital_PTP_Part_4_DOWNLOAD_REQUIRED.txt,3383e1ca9165b72aed8657fb289c88dedd131a07780c421a87226f56ae51a40e,CMS/CDC returned HTML/interstitial instead of expected file.
NCCI Q3 2026 Hospital PTP Part 2,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-hospital-ptp-edits-ccioph-v322r0-f2.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Hospital_PTP_Part_2_DOWNLOAD_REQUIRED.txt,ff8145d32fa924456880c0568db2a03fef0160a1ce0a9558fa9c644541951629,CMS/CDC returned HTML/interstitial instead of expected file.
NCCI Q3 2026 Hospital PTP Part 3,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-hospital-ptp-edits-ccioph-v322r0-f3.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Hospital_PTP_Part_3_DOWNLOAD_REQUIRED.txt,85377365d20c14a24c028b0496fa9169047a1a9fd238083f345c55015f1ccd53,CMS/CDC returned HTML/interstitial instead of expected file.
NCCI Q3 2026 Practitioner PTP Part 5,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-practitioner-ptp-edits-ccipra-v322r0-f1.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Practitioner_PTP_Part_5_DOWNLOAD_REQUIRED.txt,d8feb85fad87a15bccb8afd5bcf9be19947857afd8a37a6a35d0ae59359757e1,CMS/CDC returned HTML/interstitial instead of expected file.
NCCI Q3 2026 Practitioner PTP Part 7,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-practitioner-ptp-edits-ccipra-v322r0-f3.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Practitioner_PTP_Part_7_DOWNLOAD_REQUIRED.txt,fc67b8e631bc87a19f5c325a9dbc35d41c2c9e5e3b4076b6bc8c1fb68515e87c,CMS/CDC returned HTML/interstitial instead of expected file.
NCCI Q3 2026 Practitioner PTP Part 6,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-practitioner-ptp-edits-ccipra-v322r0-f2.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Practitioner_PTP_Part_6_DOWNLOAD_REQUIRED.txt,4add9ab11008ce8e88da47a956dc23dba1dc725d5572ba220c84c6208d320b6b,CMS/CDC returned HTML/interstitial instead of expected file.
MUE July 1 2026 practitioner,https://www.cms.gov/files/zip/medicare-ncci-2026-q3-practitioner-services-mue-table.zip,2026-07-01,downloaded,reference_data/mue/mue_2026_07_01_practitioner.zip,8b288fb8ba11c81cf8e4c47f8437d1a4919e9beca60d131fa660d5b6afd1f744,
MUE July 1 2026 outpatient_hospital,https://www.cms.gov/files/zip/medicare-ncci-2026-q3-facility-outpatient-hospital-services-mue-table.zip,2026-07-01,downloaded,reference_data/mue/mue_2026_07_01_outpatient_hospital.zip,3c784b1ff93158546f6c08b27a08dfa54beb1f8cf174d19536885695b54679c0,
NCCI Q3 2026 Practitioner PTP Part 8,https://www.cms.gov/license/ama?file=/files/zip/medicare-ncci-2026q3-practitioner-ptp-edits-ccipra-v322r0-f4.zip,2026-07-01,manual_download_required,reference_data/ncci/NCCI_Q3_2026_Practitioner_PTP_Part_8_DOWNLOAD_REQUIRED.txt,ac55d6a556a4987b3b51860cd57060538071b1ddaf527b8952021984f4a154ad,CMS/CDC returned HTML/interstitial instead of expected file.
ICD-10-CM April 2026 Addenda,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2026-update/icd10cm-addenda-April-1-2026.zip,2026-04-01,downloaded,reference_data/icd10cm/icd10cm-addenda-April-1-2026.zip,25370f2b57109bcf80e3f3695dc85c2900e24c8cf7cc03cefd6bcbaa2116b0fc,
ICD-10-CM April 2026 Guidelines,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2026-update/ICD-10-CM%20April%201%202026%20Guidelines%20Final.pdf,2026-04-01,downloaded,reference_data/icd10cm/ICD-10-CM_April-1-2026_Guidelines.pdf,e0322238ea66a44c39ebf0c56705c1e1bd5c362ece27a846d1164ba704bc8988,
